Date,Dept,BU,Account,Value
Jan-2003,405,10120,67010,1228.5
Jan-2003,405,10120,67015,1056.9
Jan-2003,405,10120,61060,55784.625
Jan-2003,405,10120,61070,5003.7
Jan-2003,405,10120,62001,2063.1
Jan-2003,405,10120,63040,1161.225
Jan-2003,405,10120,64005,1363.05
Jan-2003,405,10120,64020,1157.325
Jan-2003,405,10120,65005,1145.625
Jan-2003,405,10120,65006,1513.2
Jan-2003,405,10120,65015,991.575
Jan-2003,405,10120,65018,1551.225
Jan-2003,405,10120,65020,1176.825
Jan-2003,405,10120,65022,1224.6
Jan-2003,405,10120,65035,1602.9
Jan-2003,410,10120,51001,1312.35
Jan-2003,410,10120,51003,1348.425
Jan-2003,410,10120,61010,1455.675
Jan-2003,410,10120,61015,1347.45
Jan-2003,410,10120,61030,1044.225
Jan-2003,410,10120,61065,1231.425
Jan-2003,410,10120,61080,1604.85
Jan-2003,410,10120,61095,1209
Jan-2003,410,10120,64055,1246.05
Jan-2003,410,10120,64060,1043.25
Jan-2003,410,10120,64065,1277.25
Jan-2003,410,10120,64070,1199.25
Jan-2003,410,10120,64090,1058.85
Jan-2003,410,10120,64100,1014
Jan-2003,410,10120,66005,1217.775
Jan-2003,410,10120,66010,1646.775
Jan-2003,410,10120,67010,1522.95
Jan-2003,410,10120,67015,1661.4
Jan-2003,410,10120,61060,43677.075
Jan-2003,410,10120,61070,4473.3
Jan-2003,410,10120,62001,1938.3
Jan-2003,410,10120,63040,1604.85
Jan-2003,410,10120,64005,1438.125
Jan-2003,410,10120,64020,1421.55
Jan-2003,410,10120,65005,1273.35
Jan-2003,410,10120,65006,1499.55
Jan-2003,410,10120,65015,1048.125
Jan-2003,410,10120,65018,1548.3
Jan-2003,410,10120,65020,1175.85
Jan-2003,410,10120,65022,1512.225
Jan-2003,410,10120,65035,1511.25
Jan-2003,415,10120,51001,1362.075
Jan-2003,415,10120,51003,1038.375
Jan-2003,415,10120,61010,1347.45
Jan-2003,415,10120,61015,1572.675
Jan-2003,415,10120,61030,1343.55
Jan-2003,415,10120,61065,1282.125
Jan-2003,415,10120,61080,1678.95
Jan-2003,415,10120,61095,1694.55
Jan-2003,415,10120,64055,1479.075
Jan-2003,415,10120,64060,1229.475
Jan-2003,415,10120,64065,1377.675
Jan-2003,415,10120,64070,1408.875
Jan-2003,415,10120,64090,1015.95
Jan-2003,415,10120,64100,915.525
Jan-2003,415,10120,66005,1119.3
Jan-2003,415,10120,66010,966.225
Jan-2003,415,10120,67010,1195.35
Jan-2003,415,10120,67015,1140.75
Jan-2003,415,10120,61060,51497.55
Jan-2003,415,10120,61070,4477.2
Jan-2003,415,10120,62001,2215.2
Jan-2003,415,10120,64005,1131
Jan-2003,415,10120,64020,973.05
Jan-2003,415,10120,65005,1516.125
Jan-2003,415,10120,65006,1195.35
Jan-2003,415,10120,65015,1104.675
Jan-2003,415,10120,65018,1030.575
Jan-2003,415,10120,65020,1039.35
Jan-2003,415,10120,65022,1084.2
Jan-2003,415,10120,65035,1282.125
Feb-2003,105,10120,41101,648683.1
Feb-2003,105,10120,42201,54059.85
Feb-2003,105,10120,51001,1339.65
Feb-2003,105,10120,51003,1112.475
Feb-2003,105,10120,61010,1640.925
Feb-2003,105,10120,61015,1315.275
Feb-2003,105,10120,61030,1266.525
Feb-2003,105,10120,61065,1678.95
Feb-2003,105,10120,61080,1321.125
Feb-2003,105,10120,61095,863.85
Feb-2003,105,10120,64055,1210.95
Feb-2003,105,10120,64060,993.525
Feb-2003,105,10120,64065,1097.85
Feb-2003,105,10120,64070,967.2
Feb-2003,105,10120,64090,1495.65
Feb-2003,105,10120,64100,1246.05
Feb-2003,105,10120,66005,1537.575
Feb-2003,105,10120,66010,1273.35
Feb-2003,105,10120,67010,1673.1
Feb-2003,105,10120,67015,1594.125
Feb-2003,105,10120,61060,64177.425
Feb-2003,105,10120,61070,4527.9
Feb-2003,105,10120,62001,1716
Feb-2003,105,10120,63040,1644.825
Feb-2003,105,10120,64005,875.55
Feb-2003,105,10120,64020,909.675
Feb-2003,105,10120,65005,1328.925
Feb-2003,105,10120,65006,962.325
Feb-2003,105,10120,65015,1662.375
Feb-2003,105,10120,65018,1027.65
Feb-2003,105,10120,65020,1455.675
Feb-2003,105,10120,65022,878.475
Feb-2003,105,10120,65035,1184.625
Feb-2003,110,10120,41101,644834.775
Feb-2003,110,10120,42201,320934.9
Feb-2003,110,10120,51001,952.575
Feb-2003,110,10120,51003,1319.175
Feb-2003,110,10120,61010,1644.825
Feb-2003,110,10120,61015,861.9
Feb-2003,110,10120,61030,875.55
Feb-2003,110,10120,61065,909.675
Feb-2003,110,10120,61080,911.625
Feb-2003,110,10120,61095,1168.05
Feb-2003,110,10120,64055,1328.925
Feb-2003,110,10120,64060,962.325
Feb-2003,110,10120,64065,1662.375
Feb-2003,110,10120,64070,1027.65
Feb-2003,110,10120,64090,1455.675
Feb-2003,110,10120,64100,878.475
Feb-2003,110,10120,66005,1184.625
Feb-2003,110,10120,66010,964.275
Feb-2003,110,10120,67010,920.4
Feb-2003,110,10120,67015,1276.275
Feb-2003,110,10120,61060,54439.125
Feb-2003,110,10120,61070,4822.35
Feb-2003,110,10120,62001,2569.125
Feb-2003,110,10120,63040,875.55
Feb-2003,110,10120,64005,1168.05
Feb-2003,110,10120,64020,1328.925
Feb-2003,110,10120,65005,1135.875
Feb-2003,110,10120,65006,1398.15
Feb-2003,110,10120,65015,904.8
Feb-2003,110,10120,65018,1038.375
Feb-2003,110,10120,65020,1173.9
Feb-2003,110,10120,65022,1591.2
Feb-2003,110,10120,65035,898.95
Feb-2003,115,10110,41101,684059.025
Feb-2003,115,10110,42201,50701.95
Feb-2003,115,10110,51001,3757.65
Feb-2003,115,10110,51003,5186.025
Feb-2003,115,10110,61010,3765.45
Feb-2003,115,10110,61015,5174.325
Feb-2003,115,10110,61030,4533.75
Feb-2003,115,10110,61065,4872.075
Feb-2003,115,10110,61080,3776.175
Feb-2003,115,10110,61095,3975.075
Feb-2003,115,10110,64055,3741.075
Feb-2003,115,10110,64060,3925.35
Feb-2003,115,10110,64065,4131.075
Feb-2003,115,10110,64070,3683.55
Feb-2003,115,10110,64090,4003.35
Feb-2003,115,10110,64100,4901.325
Feb-2003,115,10110,66005,3677.7
Feb-2003,115,10110,66010,5084.625
Feb-2003,115,10110,67010,4602
Feb-2003,115,10110,67015,4646.85
Feb-2003,115,10110,61060,39930.15
Feb-2003,115,10110,61070,1632.15
Feb-2003,115,10110,62001,1490.775
Feb-2003,115,10110,63040,1781.325
Feb-2003,115,10110,64005,1728.675
Feb-2003,115,10110,64020,1603.875
Feb-2003,115,10110,65005,1609.725
Feb-2003,115,10110,65006,1531.725
Feb-2003,115,10110,65015,1471.275
Feb-2003,115,10110,65018,1533.675
Feb-2003,115,10110,65020,1241.175
Feb-2003,115,10110,65022,915.525
Feb-2003,115,10110,65035,1486.875
Feb-2003,115,10120,41101,644843.55
Feb-2003,115,10120,42201,53623.05
Feb-2003,115,10120,51001,1477.125
Feb-2003,115,10120,51003,1199.25
Feb-2003,115,10120,61010,1122.225
Feb-2003,115,10120,61015,1506.375
Feb-2003,115,10120,61030,957.45
Feb-2003,115,10120,61065,1690.65
Feb-2003,115,10120,61080,1011.075
Feb-2003,115,10120,61095,1170.975
Feb-2003,115,10120,64055,1404.975
Feb-2003,115,10120,64060,1172.925
Feb-2003,115,10120,64065,1525.875
Feb-2003,115,10120,64070,1156.35
Feb-2003,115,10120,64090,1083.225
Feb-2003,115,10120,64100,1110.525
Feb-2003,115,10120,66005,1023.75
Feb-2003,115,10120,66010,1399.125
Feb-2003,115,10120,67010,1603.875
Feb-2003,115,10120,67015,995.475
Feb-2003,115,10120,61060,54299.7
Feb-2003,115,10120,61070,4888.65
Feb-2003,115,10120,62001,2262
Feb-2003,115,10120,63040,1079.325
Feb-2003,115,10120,64005,1248
Feb-2003,115,10120,64020,1139.775
Feb-2003,115,10120,65005,1414.725
Feb-2003,115,10120,65006,1476.15
Feb-2003,115,10120,65015,1051.05
Feb-2003,115,10120,65018,1193.4
Feb-2003,115,10120,65020,1063.725
Feb-2003,115,10120,65022,1659.45
Feb-2003,115,10120,65035,1468.35
Feb-2003,200,10120,41101,239680.35
Feb-2003,200,10120,42201,70861.05
Feb-2003,200,10120,51001,3446.625
Feb-2003,200,10120,51003,5143.125
Feb-2003,200,10120,61010,4788.225
Feb-2003,200,10120,61015,3575.325
Feb-2003,200,10120,61030,4581.525
Feb-2003,200,10120,61065,4811.625
Feb-2003,200,10120,61080,4375.8
Feb-2003,200,10120,61095,3464.175
Feb-2003,200,10120,64055,4896.45
Feb-2003,200,10120,64060,4081.35
Feb-2003,200,10120,64065,3791.775
Feb-2003,200,10120,64070,3911.7
Feb-2003,200,10120,64090,3654.3
Feb-2003,200,10120,64100,4287.075
Feb-2003,200,10120,66005,4379.7
Feb-2003,200,10120,66010,4422.6
Feb-2003,200,10120,67010,3488.55
Feb-2003,200,10120,67015,4120.35
Feb-2003,200,10120,61060,65551.2
Feb-2003,200,10120,61070,3485.625
Feb-2003,200,10120,62001,5058.3
Feb-2003,200,10120,63040,11958.375
Feb-2003,200,10120,64005,10561.2
Feb-2003,200,10120,64020,38280.45
Feb-2003,200,10120,65005,2835.3
Feb-2003,200,10120,65006,2855.775
Feb-2003,200,10120,65015,2964.975
Feb-2003,200,10120,65018,3235.05
Feb-2003,200,10120,65020,3399.825
Feb-2003,200,10120,65022,3385.2
Feb-2003,200,10120,65035,2926.95
Feb-2003,300,10120,51001,1514.175
Feb-2003,300,10120,51003,1141.725
Feb-2003,300,10120,61010,1076.4
Feb-2003,300,10120,61015,1209.975
Feb-2003,300,10120,61030,1466.4
Feb-2003,300,10120,61065,1217.775
Feb-2003,300,10120,61080,1008.15
Feb-2003,300,10120,61095,1154.4
Feb-2003,300,10120,64055,1561.95
Feb-2003,300,10120,64060,1474.2
Feb-2003,300,10120,64065,1233.375
Feb-2003,300,10120,64070,1402.05
Feb-2003,300,10120,64090,1287
Feb-2003,300,10120,64100,1197.3
Feb-2003,300,10120,66005,1128.075
Feb-2003,300,10120,66010,890.175
Feb-2003,300,10120,67010,1400.1
Feb-2003,300,10120,67015,1566.825
Feb-2003,300,10120,61060,66531.075
Feb-2003,300,10120,61070,4749.225
Feb-2003,300,10120,62001,2141.1
Feb-2003,300,10120,63040,675.675
Feb-2003,300,10120,64005,902.85
Feb-2003,300,10120,64020,1546.35
Feb-2003,300,10120,65005,908.7
Feb-2003,300,10120,65006,1533.675
Feb-2003,300,10120,65015,1318.2
Feb-2003,300,10120,65018,1692.6
Feb-2003,300,10120,65020,1669.2
Feb-2003,300,10120,65022,1096.875
Feb-2003,300,10120,65035,1223.625
Feb-2003,405,10120,51001,883.35
Feb-2003,405,10120,51003,1257.75
Feb-2003,405,10120,61010,1599
Feb-2003,405,10120,61015,1220.7
Feb-2003,405,10120,61030,1356.225
Feb-2003,405,10120,61065,1085.175
Feb-2003,405,10120,61080,1382.55
Feb-2003,405,10120,61095,1392.3
Feb-2003,405,10120,64055,1379.625
Feb-2003,405,10120,64060,1457.625
Feb-2003,405,10120,64065,1327.95
Feb-2003,405,10120,64070,1080.3
Feb-2003,405,10120,64090,1333.8
Feb-2003,405,10120,64100,1453.725
Feb-2003,405,10120,66005,1484.925
Feb-2003,405,10120,66010,1196.325
Feb-2003,405,10120,67010,1402.05
Feb-2003,405,10120,67015,1603.875
Feb-2003,405,10120,61060,43016.025
Feb-2003,405,10120,61070,4875
Feb-2003,405,10120,62001,2383.875
Feb-2003,405,10120,63040,1143.675
Feb-2003,405,10120,64005,1025.7
Feb-2003,405,10120,64020,1386.45
Feb-2003,405,10120,65005,1476.15
Feb-2003,405,10120,65006,962.325
Feb-2003,405,10120,65015,954.525
Feb-2003,405,10120,65018,926.25
Feb-2003,405,10120,65020,879.45
Feb-2003,405,10120,65022,1371.825
Feb-2003,405,10120,65035,1258.725
Feb-2003,410,10120,51001,1607.775
Feb-2003,410,10120,51003,1126.125
Feb-2003,410,10120,61010,1447.875
Feb-2003,410,10120,61015,1443
Feb-2003,410,10120,61030,1679.925
Feb-2003,410,10120,61065,1592.175
Feb-2003,410,10120,61080,1130.025
Feb-2003,410,10120,61095,1084.2
Feb-2003,410,10120,64055,1675.05
Feb-2003,410,10120,64060,1442.025
Feb-2003,410,10120,64065,1407.9
Feb-2003,410,10120,64070,1663.35
Feb-2003,410,10120,64090,1515.15
Feb-2003,410,10120,64100,951.6
Feb-2003,410,10120,66005,900.9
Feb-2003,410,10120,66010,1482.975
Feb-2003,410,10120,67010,1612.65
Feb-2003,410,10120,67015,1110.525
Feb-2003,410,10120,61060,65229.45
Feb-2003,410,10120,61070,4300.725
Feb-2003,410,10120,62001,2181.075
Feb-2003,410,10120,63040,1130.025
Feb-2003,410,10120,64005,1706.25
Feb-2003,410,10120,64020,1677
Feb-2003,410,10120,65005,1029.6
Feb-2003,410,10120,65006,1162.2
Feb-2003,410,10120,65015,1010.1
Feb-2003,410,10120,65018,1365
Feb-2003,410,10120,65020,875.55
Feb-2003,410,10120,65022,909.675
Feb-2003,410,10120,65035,1638.975
Feb-2003,415,10120,51001,1137.825
Feb-2003,415,10120,51003,1053.975
Feb-2003,415,10120,61010,1023.75
Feb-2003,415,10120,61015,1192.425
Feb-2003,415,10120,61030,1445.925
Feb-2003,415,10120,61065,1306.5
Feb-2003,415,10120,61080,1261.65
Feb-2003,415,10120,61095,1643.85
Feb-2003,415,10120,64055,1397.175
Feb-2003,415,10120,64060,1684.8
Feb-2003,415,10120,64065,1412.775
Feb-2003,415,10120,64070,1177.8
Feb-2003,415,10120,64090,1499.55
Feb-2003,415,10120,64100,1168.05
Feb-2003,415,10120,66005,927.225
Feb-2003,415,10120,66010,1341.6
Feb-2003,415,10120,67010,1134.9
Feb-2003,415,10120,67015,1255.8
Feb-2003,415,10120,61060,53517.75
Feb-2003,415,10120,61070,4958.85
Feb-2003,415,10120,62001,2479.425
Feb-2003,415,10120,64005,1361.1
Feb-2003,415,10120,64020,1404.975
Feb-2003,415,10120,65005,888.225
Feb-2003,415,10120,65006,874.575
Feb-2003,415,10120,65015,1704.3
Feb-2003,415,10120,65018,891.15
Feb-2003,415,10120,65020,1554.15
Feb-2003,415,10120,65022,1264.575
Feb-2003,415,10120,65035,1550.25
Mar-2003,105,10120,41101,650123.175
Mar-2003,105,10120,42201,51987
Mar-2003,105,10120,51001,1658.475
Mar-2003,105,10120,51003,917.475
Mar-2003,105,10120,61010,1630.2
Mar-2003,105,10120,61015,1218.75
Mar-2003,105,10120,61030,997.425
Mar-2003,105,10120,61065,1144.65
Mar-2003,105,10120,61080,1448.85
Mar-2003,105,10120,61095,1217.775
Mar-2003,105,10120,64055,1314.3
Mar-2003,105,10120,64060,1081.275
Mar-2003,105,10120,64065,1659.45
Mar-2003,105,10120,64070,1424.475
Mar-2003,105,10120,64090,1234.35
Mar-2003,105,10120,64100,1525.875
Mar-2003,105,10120,66005,1225.575
Mar-2003,105,10120,66010,1485.9
Mar-2003,105,10120,67010,1705.275
Mar-2003,105,10120,67015,1137.825
Mar-2003,105,10120,61060,66581.775
Mar-2003,105,10120,61070,4524
Mar-2003,105,10120,62001,1971.45
Mar-2003,105,10120,63040,1299.675
Mar-2003,105,10120,64005,1402.05
Mar-2003,105,10120,64020,901.875
Mar-2003,105,10120,65005,1464.45
Mar-2003,105,10120,65006,1554.15
Mar-2003,105,10120,65015,1480.05
Mar-2003,105,10120,65018,1111.5
Mar-2003,105,10120,65020,1512.225
Mar-2003,105,10120,65022,1025.7
Mar-2003,105,10120,65035,1661.4
Mar-2003,110,10120,41101,663694.2
Mar-2003,110,10120,42201,303619.875
Mar-2003,110,10120,51001,1185.6
Mar-2003,110,10120,51003,1292.85
Mar-2003,110,10120,61010,1299.675
Mar-2003,110,10120,61015,1525.875
Mar-2003,110,10120,61030,1402.05
Mar-2003,110,10120,61065,901.875
Mar-2003,110,10120,61080,1705.275
Mar-2003,110,10120,61095,933.075
Mar-2003,110,10120,64055,1464.45
Mar-2003,110,10120,64060,1554.15
Mar-2003,110,10120,64065,1480.05
Mar-2003,110,10120,64070,1111.5
Mar-2003,110,10120,64090,1512.225
Mar-2003,110,10120,64100,1025.7
Mar-2003,110,10120,66005,1661.4
Mar-2003,110,10120,66010,914.55
Mar-2003,110,10120,67010,1165.125
Mar-2003,110,10120,67015,990.6
Mar-2003,110,10120,61060,60659.625
Mar-2003,110,10120,61070,4674.15
Mar-2003,110,10120,62001,1753.05
Mar-2003,110,10120,63040,1402.05
Mar-2003,110,10120,64005,933.075
Mar-2003,110,10120,64020,1464.45
Mar-2003,110,10120,65005,867.75
Mar-2003,110,10120,65006,1135.875
Mar-2003,110,10120,65015,1410.825
Mar-2003,110,10120,65018,1293.825
Mar-2003,110,10120,65020,1240.2
Mar-2003,110,10120,65022,1167.075
Mar-2003,110,10120,65035,919.425
Mar-2003,115,10110,41101,695577.675
Mar-2003,115,10110,42201,62610.6
Mar-2003,115,10110,51001,4774.575
Mar-2003,115,10110,51003,5266.95
Mar-2003,115,10110,61010,5243.55
Mar-2003,115,10110,61015,4426.5
Mar-2003,115,10110,61030,4947.15
Mar-2003,115,10110,61065,4250.025
Mar-2003,115,10110,61080,3802.5
Mar-2003,115,10110,61095,4935.45
Mar-2003,115,10110,64055,4506.45
Mar-2003,115,10110,64060,4681.95
Mar-2003,115,10110,64065,4270.5
Mar-2003,115,10110,64070,5100.225
Mar-2003,115,10110,64090,4660.5
Mar-2003,115,10110,64100,4709.25
Mar-2003,115,10110,66005,3646.5
Mar-2003,115,10110,66010,5258.175
Mar-2003,115,10110,67010,3723.525
Mar-2003,115,10110,67015,5088.525
Mar-2003,115,10110,61060,37612.575
Mar-2003,115,10110,61070,1634.1
Mar-2003,115,10110,62001,1135.875
Mar-2003,115,10110,63040,1332.825
Mar-2003,115,10110,64005,1209.975
Mar-2003,115,10110,64020,1124.175
Mar-2003,115,10110,65005,1333.8
Mar-2003,115,10110,65006,1130.025
Mar-2003,115,10110,65015,1272.375
Mar-2003,115,10110,65018,1234.35
Mar-2003,115,10110,65020,909.675
Mar-2003,115,10110,65022,1063.725
Mar-2003,115,10110,65035,1411.8
Mar-2003,115,10120,41101,658748.025
Mar-2003,115,10120,42201,51271.35
Mar-2003,115,10120,51001,1318.2
Mar-2003,115,10120,51003,874.575
Mar-2003,115,10120,61010,1516.125
Mar-2003,115,10120,61015,1356.225
Mar-2003,115,10120,61030,982.8
Mar-2003,115,10120,61065,1037.4
Mar-2003,115,10120,61080,984.75
Mar-2003,115,10120,61095,1443
Mar-2003,115,10120,64055,1654.575
Mar-2003,115,10120,64060,1621.425
Mar-2003,115,10120,64065,961.35
Mar-2003,115,10120,64070,1402.05
Mar-2003,115,10120,64090,1695.525
Mar-2003,115,10120,64100,871.65
Mar-2003,115,10120,66005,1526.85
Mar-2003,115,10120,66010,958.425
Mar-2003,115,10120,67010,1542.45
Mar-2003,115,10120,67015,1345.5
Mar-2003,115,10120,61060,51834.9
Mar-2003,115,10120,61070,4902.3
Mar-2003,115,10120,62001,2134.275
Mar-2003,115,10120,63040,1374.75
Mar-2003,115,10120,64005,987.675
Mar-2003,115,10120,64020,933.075
Mar-2003,115,10120,65005,920.4
Mar-2003,115,10120,65006,1071.525
Mar-2003,115,10120,65015,1598.025
Mar-2003,115,10120,65018,1213.875
