Date,Dept,BU,Account,local
3/31/2003,115,10110,67015,5219
3/31/2003,115,10110,61060,38577
3/31/2003,115,10110,61070,1676
3/31/2003,115,10110,62001,1165
3/31/2003,115,10110,63040,1367
3/31/2003,115,10110,64005,1241
3/31/2003,115,10110,64020,1153
3/31/2003,115,10110,65005,1368
3/31/2003,115,10110,65006,1159
3/31/2003,115,10110,65015,1305
3/31/2003,115,10110,65018,1266
3/31/2003,115,10110,65020,933
3/31/2003,115,10110,65022,1091
3/31/2003,115,10110,65035,1448
4/30/2003,115,10110,41101,696544
4/30/2003,115,10110,42201,60093
4/30/2003,115,10110,51001,5031
4/30/2003,115,10110,51003,5349
4/30/2003,115,10110,61010,5091
4/30/2003,115,10110,61015,3791
4/30/2003,115,10110,61030,4367
4/30/2003,115,10110,61065,3875
4/30/2003,115,10110,61080,4764
4/30/2003,115,10110,61095,3954
4/30/2003,115,10110,64055,3983
4/30/2003,115,10110,64060,3718
4/30/2003,115,10110,64065,4851
4/30/2003,115,10110,64070,4640
4/30/2003,115,10110,64090,4264
4/30/2003,115,10110,64100,5499
4/30/2003,115,10110,66005,5407
4/30/2003,115,10110,66010,4432
4/30/2003,115,10110,67010,5270
4/30/2003,115,10110,67015,5494
4/30/2003,115,10110,61060,38063
4/30/2003,115,10110,61070,1631
4/30/2003,115,10110,62001,1526
4/30/2003,115,10110,63040,1249
4/30/2003,115,10110,64005,1415
4/30/2003,115,10110,64020,950
4/30/2003,115,10110,65005,1079
4/30/2003,115,10110,65006,958
4/30/2003,115,10110,65015,1030
4/30/2003,115,10110,65018,1453
4/30/2003,115,10110,65020,1290
4/30/2003,115,10110,65022,1036
4/30/2003,115,10110,65035,1738
5/31/2003,115,10110,41101,703951
5/31/2003,115,10110,42201,55541
5/31/2003,115,10110,51001,5188
5/31/2003,115,10110,51003,4667
5/31/2003,115,10110,61010,4877
5/31/2003,115,10110,61015,3815
5/31/2003,115,10110,61030,3904
5/31/2003,115,10110,61065,3957
5/31/2003,115,10110,61080,3751
5/31/2003,115,10110,61095,4490
5/31/2003,115,10110,64055,4920
5/31/2003,115,10110,64060,4628
5/31/2003,115,10110,64065,4099
5/31/2003,115,10110,64070,4109
5/31/2003,115,10110,64090,3915
5/31/2003,115,10110,64100,4793
5/31/2003,115,10110,66005,4849
5/31/2003,115,10110,66010,4539
5/31/2003,115,10110,67010,5000
5/31/2003,115,10110,67015,4625
5/31/2003,115,10110,61060,38851
5/31/2003,115,10110,61070,1252
5/31/2003,115,10110,62001,1079
5/31/2003,115,10110,63040,1542
5/31/2003,115,10110,64005,1748
5/31/2003,115,10110,64020,979
5/31/2003,115,10110,65005,1370
5/31/2003,115,10110,65006,930
5/31/2003,115,10110,65015,1213
5/31/2003,115,10110,65018,1244
5/31/2003,115,10110,65020,1261
5/31/2003,115,10110,65022,1472
5/31/2003,115,10110,65035,1066
6/30/2003,115,10110,41101,709501
6/30/2003,115,10110,42201,73139
6/30/2003,115,10110,51001,4495
6/30/2003,115,10110,51003,4268
6/30/2003,115,10110,61010,4746
6/30/2003,115,10110,61015,5034
6/30/2003,115,10110,61030,5124
6/30/2003,115,10110,61065,4777
6/30/2003,115,10110,61080,4944
6/30/2003,115,10110,61095,5304
6/30/2003,115,10110,64055,4422
6/30/2003,115,10110,64060,5276
6/30/2003,115,10110,64065,5076
6/30/2003,115,10110,64070,4783
6/30/2003,115,10110,64090,4505
6/30/2003,115,10110,64100,4940
6/30/2003,115,10110,66005,5410
6/30/2003,115,10110,66010,3784
6/30/2003,115,10110,67010,4640
6/30/2003,115,10110,67015,4966
6/30/2003,115,10110,61060,36782
6/30/2003,115,10110,61070,1144
6/30/2003,115,10110,62001,1464
6/30/2003,115,10110,63040,1010
6/30/2003,115,10110,64005,1734
6/30/2003,115,10110,64020,1842
6/30/2003,115,10110,65005,1052
6/30/2003,115,10110,65006,1732
6/30/2003,115,10110,65015,1728
6/30/2003,115,10110,65018,1715
6/30/2003,115,10110,65020,1423
6/30/2003,115,10110,65022,1669
6/30/2003,115,10110,65035,1797
7/31/2003,115,10110,41101,698137
7/31/2003,115,10110,42201,54918
7/31/2003,115,10110,51001,5327
7/31/2003,115,10110,51003,5210
7/31/2003,115,10110,61010,3905
7/31/2003,115,10110,61015,5381
7/31/2003,115,10110,61030,5204
7/31/2003,115,10110,61065,4318
7/31/2003,115,10110,61080,5015
7/31/2003,115,10110,61095,4711
7/31/2003,115,10110,64055,4132
7/31/2003,115,10110,64060,5537
7/31/2003,115,10110,64065,4839
7/31/2003,115,10110,64070,5498
7/31/2003,115,10110,64090,4689
7/31/2003,115,10110,64100,4163
7/31/2003,115,10110,66005,4816
7/31/2003,115,10110,66010,4278
7/31/2003,115,10110,67010,4762
7/31/2003,115,10110,67015,4200
7/31/2003,115,10110,61060,38978
7/31/2003,115,10110,61070,1389
7/31/2003,115,10110,62001,1549
7/31/2003,115,10110,63040,1513
7/31/2003,115,10110,64005,1217
7/31/2003,115,10110,64020,1094
7/31/2003,115,10110,65005,1112
7/31/2003,115,10110,65006,1025
7/31/2003,115,10110,65015,1766
7/31/2003,115,10110,65018,1708
7/31/2003,115,10110,65020,1127
7/31/2003,115,10110,65022,1189
7/31/2003,115,10110,65035,1553
8/31/2003,115,10110,41101,700654
8/31/2003,115,10110,42201,52819
8/31/2003,115,10110,51001,4845
8/31/2003,115,10110,51003,4424
8/31/2003,115,10110,61010,4469
8/31/2003,115,10110,61015,4684
8/31/2003,115,10110,61030,5501
8/31/2003,115,10110,61065,3846
8/31/2003,115,10110,61080,4438
8/31/2003,115,10110,61095,4177
8/31/2003,115,10110,64055,4760
8/31/2003,115,10110,64060,4614
8/31/2003,115,10110,64065,4162
8/31/2003,115,10110,64070,3934
8/31/2003,115,10110,64090,4505
8/31/2003,115,10110,64100,4744
8/31/2003,115,10110,66005,5527
8/31/2003,115,10110,66010,5214
8/31/2003,115,10110,67010,4155
8/31/2003,115,10110,67015,4190
8/31/2003,115,10110,61060,39648
8/31/2003,115,10110,61070,1792
8/31/2003,115,10110,62001,1438
8/31/2003,115,10110,63040,990
8/31/2003,115,10110,64005,1506
8/31/2003,115,10110,64020,1781
8/31/2003,115,10110,65005,932
8/31/2003,115,10110,65006,1374
8/31/2003,115,10110,65015,1464
8/31/2003,115,10110,65018,1295
8/31/2003,115,10110,65020,1145
8/31/2003,115,10110,65022,1770
8/31/2003,115,10110,65035,1293
9/30/2003,115,10110,41101,716433
9/30/2003,115,10110,42201,73652
9/30/2003,115,10110,51001,3802
9/30/2003,115,10110,51003,4157
9/30/2003,115,10110,61010,3891
9/30/2003,115,10110,61015,4043
9/30/2003,115,10110,61030,4691
9/30/2003,115,10110,61065,3999
9/30/2003,115,10110,61080,5005
9/30/2003,115,10110,61095,5052
9/30/2003,115,10110,64055,4784
9/30/2003,115,10110,64060,4497
9/30/2003,115,10110,64065,5160
9/30/2003,115,10110,64070,4147
9/30/2003,115,10110,64090,4164
9/30/2003,115,10110,64100,4007
9/30/2003,115,10110,66005,4644
9/30/2003,115,10110,66010,3774
9/30/2003,115,10110,67010,4108
9/30/2003,115,10110,67015,5385
9/30/2003,115,10110,61060,38483
9/30/2003,115,10110,61070,1732
9/30/2003,115,10110,62001,989
9/30/2003,115,10110,63040,1017
9/30/2003,115,10110,64005,1539
9/30/2003,115,10110,64020,1754
9/30/2003,115,10110,65005,1230
9/30/2003,115,10110,65006,1338
9/30/2003,115,10110,65015,1799
9/30/2003,115,10110,65018,1094
9/30/2003,115,10110,65020,1049
9/30/2003,115,10110,65022,1561
9/30/2003,115,10110,65035,1027
10/31/2003,115,10110,41101,715717
10/31/2003,115,10110,42201,56792
10/31/2003,115,10110,51001,5453
10/31/2003,115,10110,51003,4140
10/31/2003,115,10110,61010,4739
10/31/2003,115,10110,61015,4023
10/31/2003,115,10110,61030,3851
10/31/2003,115,10110,61065,4424
10/31/2003,115,10110,61080,5543
10/31/2003,115,10110,61095,5392
10/31/2003,115,10110,64055,3780
10/31/2003,115,10110,64060,3761
10/31/2003,115,10110,64065,4833
10/31/2003,115,10110,64070,3832
10/31/2003,115,10110,64090,4460
10/31/2003,115,10110,64100,4879
10/31/2003,115,10110,66005,5319
10/31/2003,115,10110,66010,5158
10/31/2003,115,10110,67010,3739
10/31/2003,115,10110,67015,5412
10/31/2003,115,10110,61060,36791
10/31/2003,115,10110,61070,1805
10/31/2003,115,10110,62001,1171
10/31/2003,115,10110,63040,1608
10/31/2003,115,10110,64005,1549
10/31/2003,115,10110,64020,1403
10/31/2003,115,10110,65005,1071
10/31/2003,115,10110,65006,1155
10/31/2003,115,10110,65015,1159
10/31/2003,115,10110,65018,1397
10/31/2003,115,10110,65020,1273
10/31/2003,115,10110,65022,1220
10/31/2003,115,10110,65035,1227
11/30/2003,115,10110,41101,707236
11/30/2003,115,10110,42201,67022
11/30/2003,115,10110,51001,4133
11/30/2003,115,10110,51003,4948
11/30/2003,115,10110,61010,3824
11/30/2003,115,10110,61015,4514
11/30/2003,115,10110,61030,3953
11/30/2003,115,10110,61065,5068
11/30/2003,115,10110,61080,4687
11/30/2003,115,10110,61095,4744
11/30/2003,115,10110,64055,5484
11/30/2003,115,10110,64060,3814
11/30/2003,115,10110,64065,5459
11/30/2003,115,10110,64070,5441
11/30/2003,115,10110,64090,4959
11/30/2003,115,10110,64100,4015
11/30/2003,115,10110,66005,4856
11/30/2003,115,10110,66010,4692
11/30/2003,115,10110,67010,5419
11/30/2003,115,10110,67015,4547
11/30/2003,115,10110,61060,40560
11/30/2003,115,10110,61070,1260
11/30/2003,115,10110,62001,1081
11/30/2003,115,10110,63040,1013
11/30/2003,115,10110,64005,1711
11/30/2003,115,10110,64020,1563
11/30/2003,115,10110,65005,1226
11/30/2003,115,10110,65006,1815
11/30/2003,115,10110,65015,945
11/30/2003,115,10110,65018,1144
11/30/2003,115,10110,65020,1716
11/30/2003,115,10110,65022,1419
11/30/2003,115,10110,65035,1647
12/31/2003,115,10110,41101,718528
12/31/2003,115,10110,42201,73783
12/31/2003,115,10110,51001,4910
12/31/2003,115,10110,51003,4603
12/31/2003,115,10110,61010,4427
12/31/2003,115,10110,61015,4391
12/31/2003,115,10110,61030,3938
12/31/2003,115,10110,61065,4504
12/31/2003,115,10110,61080,4350
12/31/2003,115,10110,61095,4129
12/31/2003,115,10110,64055,4036
12/31/2003,115,10110,64060,4853
12/31/2003,115,10110,64065,4614
12/31/2003,115,10110,64070,5343
12/31/2003,115,10110,64090,4529
12/31/2003,115,10110,64100,4245
12/31/2003,115,10110,66005,4720
12/31/2003,115,10110,66010,5062
12/31/2003,115,10110,67010,4441
12/31/2003,115,10110,67015,3907
12/31/2003,115,10110,61060,39764
12/31/2003,115,10110,61070,1061
12/31/2003,115,10110,62001,1202
12/31/2003,115,10110,63040,1532
12/31/2003,115,10110,64005,1494
12/31/2003,115,10110,64020,1697
12/31/2003,115,10110,65005,1745
12/31/2003,115,10110,65006,1538
12/31/2003,115,10110,65015,1779
12/31/2003,115,10110,65018,981
12/31/2003,115,10110,65020,1037
12/31/2003,115,10110,65022,1271
12/31/2003,115,10110,65035,1835
1/31/2003,105,10120,41101,674880
1/31/2003,105,10120,42201,53159
1/31/2003,105,10120,51001,990
1/31/2003,105,10120,51003,1414
1/31/2003,105,10120,61010,1023
1/31/2003,105,10120,61015,1139
1/31/2003,105,10120,61030,1505
1/31/2003,105,10120,61065,937
1/31/2003,105,10120,61080,1463
1/31/2003,105,10120,61095,1459
1/31/2003,105,10120,64055,1215
1/31/2003,105,10120,64060,1144
1/31/2003,105,10120,64065,1148
1/31/2003,105,10120,64070,1358
1/31/2003,105,10120,64090,1528
1/31/2003,105,10120,64100,994
1/31/2003,105,10120,66005,1370
1/31/2003,105,10120,66010,1737
1/31/2003,105,10120,67010,1585
1/31/2003,105,10120,67015,925
1/31/2003,105,10120,61060,45228
1/31/2003,105,10120,61070,4432
1/31/2003,105,10120,62001,2178
1/31/2003,105,10120,63040,1400
1/31/2003,105,10120,64005,1432
1/31/2003,105,10120,64020,1531
1/31/2003,105,10120,65005,1412
1/31/2003,105,10120,65006,1538
1/31/2003,105,10120,65015,1267
1/31/2003,105,10120,65018,1464
1/31/2003,105,10120,65020,920
1/31/2003,105,10120,65022,1116
1/31/2003,105,10120,65035,1588
2/28/2003,105,10120,41101,665316
2/28/2003,105,10120,42201,55446
2/28/2003,105,10120,51001,1374
2/28/2003,105,10120,51003,1141
2/28/2003,105,10120,61010,1683
2/28/2003,105,10120,61015,1349
2/28/2003,105,10120,61030,1299
2/28/2003,105,10120,61065,1722
2/28/2003,105,10120,61080,1355
2/28/2003,105,10120,61095,886
2/28/2003,105,10120,64055,1242
2/28/2003,105,10120,64060,1019
2/28/2003,105,10120,64065,1126
2/28/2003,105,10120,64070,992
2/28/2003,105,10120,64090,1534
2/28/2003,105,10120,64100,1278
2/28/2003,105,10120,66005,1577
2/28/2003,105,10120,66010,1306
2/28/2003,105,10120,67010,1716
2/28/2003,105,10120,67015,1635
2/28/2003,105,10120,61060,65823
2/28/2003,105,10120,61070,4644
2/28/2003,105,10120,62001,1760
2/28/2003,105,10120,63040,1687
2/28/2003,105,10120,64005,898
2/28/2003,105,10120,64020,933
2/28/2003,105,10120,65005,1363
2/28/2003,105,10120,65006,987
2/28/2003,105,10120,65015,1705
2/28/2003,105,10120,65018,1054
2/28/2003,105,10120,65020,1493
2/28/2003,105,10120,65022,901
2/28/2003,105,10120,65035,1215
3/31/2003,105,10120,41101,666793
3/31/2003,105,10120,42201,53320
3/31/2003,105,10120,51001,1701
3/31/2003,105,10120,51003,941
3/31/2003,105,10120,61010,1672
3/31/2003,105,10120,61015,1250
3/31/2003,105,10120,61030,1023
3/31/2003,105,10120,61065,1174
3/31/2003,105,10120,61080,1486
3/31/2003,105,10120,61095,1249
3/31/2003,105,10120,64055,1348
3/31/2003,105,10120,64060,1109
3/31/2003,105,10120,64065,1702
3/31/2003,105,10120,64070,1461
3/31/2003,105,10120,64090,1266
3/31/2003,105,10120,64100,1565
3/31/2003,105,10120,66005,1257
3/31/2003,105,10120,66010,1524
3/31/2003,105,10120,67010,1749
3/31/2003,105,10120,67015,1167
3/31/2003,105,10120,61060,68289
3/31/2003,105,10120,61070,4640
3/31/2003,105,10120,62001,2022
3/31/2003,105,10120,63040,1333
3/31/2003,105,10120,64005,1438
3/31/2003,105,10120,64020,925
3/31/2003,105,10120,65005,1502
3/31/2003,105,10120,65006,1594
3/31/2003,105,10120,65015,1518
3/31/2003,105,10120,65018,1140
3/31/2003,105,10120,65020,1551
3/31/2003,105,10120,65022,1052
3/31/2003,105,10120,65035,1704
4/30/2003,105,10120,41101,666852
4/30/2003,105,10120,42201,56089
4/30/2003,105,10120,51001,1629
4/30/2003,105,10120,51003,1515
4/30/2003,105,10120,61010,1306
4/30/2003,105,10120,61015,1470
4/30/2003,105,10120,61030,988
4/30/2003,105,10120,61065,1111
4/30/2003,105,10120,61080,1304
4/30/2003,105,10120,61095,1240
4/30/2003,105,10120,64055,979
4/30/2003,105,10120,64060,1210
4/30/2003,105,10120,64065,1376
4/30/2003,105,10120,64070,1418
4/30/2003,105,10120,64090,1395
4/30/2003,105,10120,64100,1030
4/30/2003,105,10120,66005,1213
4/30/2003,105,10120,66010,1148
4/30/2003,105,10120,67010,1754
4/30/2003,105,10120,67015,1306
4/30/2003,105,10120,61060,53241
4/30/2003,105,10120,61070,4451
4/30/2003,105,10120,62001,2059
4/30/2003,105,10120,63040,1126
4/30/2003,105,10120,64005,1413
4/30/2003,105,10120,64020,1230
4/30/2003,105,10120,65005,1040
4/30/2003,105,10120,65006,1348
4/30/2003,105,10120,65015,1029
4/30/2003,105,10120,65018,1707
4/30/2003,105,10120,65020,1325
4/30/2003,105,10120,65022,968
4/30/2003,105,10120,65035,1612
5/31/2003,105,10120,41101,676266
5/31/2003,105,10120,42201,53398
5/31/2003,105,10120,51001,974
5/31/2003,105,10120,51003,1621
5/31/2003,105,10120,61010,1333
5/31/2003,105,10120,61015,1098
5/31/2003,105,10120,61030,1735
5/31/2003,105,10120,61065,1146
5/31/2003,105,10120,61080,1476
5/31/2003,105,10120,61095,1294
5/31/2003,105,10120,64055,1528
5/31/2003,105,10120,64060,1096
5/31/2003,105,10120,64065,1083
5/31/2003,105,10120,64070,1492
5/31/2003,105,10120,64090,1184
5/31/2003,105,10120,64100,1499
5/31/2003,105,10120,66005,1758
5/31/2003,105,10120,66010,913
5/31/2003,105,10120,67010,1718
5/31/2003,105,10120,67015,1140
5/31/2003,105,10120,61060,59121
5/31/2003,105,10120,61070,4739
5/31/2003,105,10120,62001,2015
5/31/2003,105,10120,63040,1672
5/31/2003,105,10120,64005,1177
5/31/2003,105,10120,64020,1108
5/31/2003,105,10120,65005,1670
5/31/2003,105,10120,65006,1700
5/31/2003,105,10120,65015,905
5/31/2003,105,10120,65018,1671
5/31/2003,105,10120,65020,1069
5/31/2003,105,10120,65022,1497
5/31/2003,105,10120,65035,1523
6/30/2003,105,10120,41101,674762
6/30/2003,105,10120,42201,52454
6/30/2003,105,10120,51001,1132
6/30/2003,105,10120,51003,1434
6/30/2003,105,10120,61010,1520
6/30/2003,105,10120,61015,1022
6/30/2003,105,10120,61030,1536
6/30/2003,105,10120,61065,1418
6/30/2003,105,10120,61080,1474
6/30/2003,105,10120,61095,1480
6/30/2003,105,10120,64055,1341
6/30/2003,105,10120,64060,1324
6/30/2003,105,10120,64065,1390
6/30/2003,105,10120,64070,1419
6/30/2003,105,10120,64090,1353
6/30/2003,105,10120,64100,1580
6/30/2003,105,10120,66005,1143
6/30/2003,105,10120,66010,932
6/30/2003,105,10120,67010,939
6/30/2003,105,10120,67015,1572
6/30/2003,105,10120,61060,45162
6/30/2003,105,10120,61070,4658
6/30/2003,105,10120,62001,2110
6/30/2003,105,10120,63040,1368
6/30/2003,105,10120,64005,1664
6/30/2003,105,10120,64020,1005
6/30/2003,105,10120,65005,1452
6/30/2003,105,10120,65006,1753
6/30/2003,105,10120,65015,1567
6/30/2003,105,10120,65018,1683
6/30/2003,105,10120,65020,1483
6/30/2003,105,10120,65022,962
6/30/2003,105,10120,65035,1360
7/31/2003,105,10120,41101,677788
7/31/2003,105,10120,42201,54976
7/31/2003,105,10120,51001,1019
7/31/2003,105,10120,51003,1731
7/31/2003,105,10120,61010,1344
7/31/2003,105,10120,61015,1149
7/31/2003,105,10120,61030,1333
7/31/2003,105,10120,61065,1481
7/31/2003,105,10120,61080,1648
7/31/2003,105,10120,61095,1536
7/31/2003,105,10120,64055,1092
7/31/2003,105,10120,64060,1561
7/31/2003,105,10120,64065,1380
7/31/2003,105,10120,64070,1717
7/31/2003,105,10120,64090,939
7/31/2003,105,10120,64100,882
7/31/2003,105,10120,66005,1683
7/31/2003,105,10120,66010,976
7/31/2003,105,10120,67010,1059
7/31/2003,105,10120,67015,1471
7/31/2003,105,10120,61060,56946
7/31/2003,105,10120,61070,4488
7/31/2003,105,10120,62001,1955
7/31/2003,105,10120,63040,1214
7/31/2003,105,10120,64005,1622
7/31/2003,105,10120,64020,1268
7/31/2003,105,10120,65005,884
7/31/2003,105,10120,65006,1354
7/31/2003,105,10120,65015,947
7/31/2003,105,10120,65018,972
7/31/2003,105,10120,65020,1280
7/31/2003,105,10120,65022,1435
7/31/2003,105,10120,65035,1378
8/31/2003,105,10120,41101,685316
8/31/2003,105,10120,42201,55377
8/31/2003,105,10120,51001,976
8/31/2003,105,10120,51003,1727
8/31/2003,105,10120,61010,1526
8/31/2003,105,10120,61015,1075
8/31/2003,105,10120,61030,1177
8/31/2003,105,10120,61065,1655
8/31/2003,105,10120,61080,1578
8/31/2003,105,10120,61095,1016
8/31/2003,105,10120,64055,1628
8/31/2003,105,10120,64060,1478
8/31/2003,105,10120,64065,1427
8/31/2003,105,10120,64070,1036
8/31/2003,105,10120,64090,1229
8/31/2003,105,10120,64100,1601
8/31/2003,105,10120,66005,1720
8/31/2003,105,10120,66010,983
8/31/2003,105,10120,67010,1119
8/31/2003,105,10120,67015,1430
8/31/2003,105,10120,61060,50404
8/31/2003,105,10120,61070,4887
8/31/2003,105,10120,62001,2397
8/31/2003,105,10120,63040,1048
8/31/2003,105,10120,64005,1489
8/31/2003,105,10120,64020,1205
8/31/2003,105,10120,65005,1343
8/31/2003,105,10120,65006,1463
8/31/2003,105,10120,65015,1592
8/31/2003,105,10120,65018,1426
8/31/2003,105,10120,65020,1705
8/31/2003,105,10120,65022,1012
8/31/2003,105,10120,65035,1435
9/30/2003,105,10120,41101,676943
9/30/2003,105,10120,42201,49049
9/30/2003,105,10120,51001,1222
9/30/2003,105,10120,51003,1714
9/30/2003,105,10120,61010,1145
9/30/2003,105,10120,61015,1225
9/30/2003,105,10120,61030,1467
9/30/2003,105,10120,61065,1495
9/30/2003,105,10120,61080,973
9/30/2003,105,10120,61095,938
9/30/2003,105,10120,64055,1533
9/30/2003,105,10120,64060,1089
9/30/2003,105,10120,64065,1390
9/30/2003,105,10120,64070,1671
9/30/2003,105,10120,64090,1159
9/30/2003,105,10120,64100,1699
9/30/2003,105,10120,66005,1686
9/30/2003,105,10120,66010,1006
9/30/2003,105,10120,67010,1002
9/30/2003,105,10120,67015,1236
9/30/2003,105,10120,61060,55962
9/30/2003,105,10120,61070,5012
9/30/2003,105,10120,62001,2552
9/30/2003,105,10120,63040,970
9/30/2003,105,10120,64005,1179
9/30/2003,105,10120,64020,1199
9/30/2003,105,10120,65005,1318
9/30/2003,105,10120,65006,1228
9/30/2003,105,10120,65015,1713
9/30/2003,105,10120,65018,938
9/30/2003,105,10120,65020,1487
9/30/2003,105,10120,65022,1052
9/30/2003,105,10120,65035,1177
10/31/2003,105,10120,41101,661617
10/31/2003,105,10120,42201,49863
10/31/2003,105,10120,51001,1163
10/31/2003,105,10120,51003,1403
10/31/2003,105,10120,61010,1524
10/31/2003,105,10120,61015,1118
10/31/2003,105,10120,61030,1235
10/31/2003,105,10120,61065,1164
10/31/2003,105,10120,61080,1029
10/31/2003,105,10120,61095,1426
10/31/2003,105,10120,64055,1568
10/31/2003,105,10120,64060,1092
10/31/2003,105,10120,64065,1375
10/31/2003,105,10120,64070,1422
10/31/2003,105,10120,64090,988
10/31/2003,105,10120,64100,1027
10/31/2003,105,10120,66005,1013
10/31/2003,105,10120,66010,1616
10/31/2003,105,10120,67010,1422
10/31/2003,105,10120,67015,1646
10/31/2003,105,10120,61060,61603
10/31/2003,105,10120,61070,4866
10/31/2003,105,10120,62001,2488
10/31/2003,105,10120,63040,1216
10/31/2003,105,10120,64005,1509
10/31/2003,105,10120,64020,1526
10/31/2003,105,10120,65005,933
10/31/2003,105,10120,65006,1257
10/31/2003,105,10120,65015,942
10/31/2003,105,10120,65018,957
10/31/2003,105,10120,65020,1247
10/31/2003,105,10120,65022,1749
10/31/2003,105,10120,65035,913
11/30/2003,105,10120,41101,671220
11/30/2003,105,10120,42201,58890
11/30/2003,105,10120,51001,1303
11/30/2003,105,10120,51003,913
11/30/2003,105,10120,61010,982
11/30/2003,105,10120,61015,1650
11/30/2003,105,10120,61030,1266
11/30/2003,105,10120,61065,1636
11/30/2003,105,10120,61080,1540
11/30/2003,105,10120,61095,1533
11/30/2003,105,10120,64055,908
11/30/2003,105,10120,64060,1444
11/30/2003,105,10120,64065,1707
11/30/2003,105,10120,64070,1305
11/30/2003,105,10120,64090,1740
11/30/2003,105,10120,64100,1220
11/30/2003,105,10120,66005,1413
11/30/2003,105,10120,66010,1729
11/30/2003,105,10120,67010,1195
11/30/2003,105,10120,67015,1241
11/30/2003,105,10120,61060,61130
11/30/2003,105,10120,61070,4776
11/30/2003,105,10120,62001,2255
11/30/2003,105,10120,63040,963
11/30/2003,105,10120,64005,1505
11/30/2003,105,10120,64020,1089
11/30/2003,105,10120,65005,1104
11/30/2003,105,10120,65006,1343
11/30/2003,105,10120,65015,1676
11/30/2003,105,10120,65018,1316
11/30/2003,105,10120,65020,1082
11/30/2003,105,10120,65022,1672
11/30/2003,105,10120,65035,1434
12/31/2003,105,10120,41101,668484
12/31/2003,105,10120,42201,44931
12/31/2003,105,10120,51001,914
12/31/2003,105,10120,51003,911
12/31/2003,105,10120,61010,1323
12/31/2003,105,10120,61015,1416
12/31/2003,105,10120,61030,1611
12/31/2003,105,10120,61065,1515
12/31/2003,105,10120,61080,1221
12/31/2003,105,10120,61095,1233
12/31/2003,105,10120,64055,1335
12/31/2003,105,10120,64060,1597
12/31/2003,105,10120,64065,1187
12/31/2003,105,10120,64070,1357
12/31/2003,105,10120,64090,1390
12/31/2003,105,10120,64100,1446
12/31/2003,105,10120,66005,1709
12/31/2003,105,10120,66010,1370
12/31/2003,105,10120,67010,999
12/31/2003,105,10120,67015,1135
